suite,case_id,tool,num_work_runs,storm_extra_args,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
herman,n17-h1,storm.spm,3,-tm --sylvan:threads 1,stable,1,,17,1,ok,0.0001871280341,96.10177312366432,0.5734903181693838,
herman,n17-h2,storm.spm,3,-tm --sylvan:threads 1,stable,2,,17,2,ok,0.003729208483,100.21592540633476,0.1768845058575979,
herman,n17-h3,storm.spm,3,-tm --sylvan:threads 1,stable,3,,17,3,ok,0.01465386225,101.83657179865986,0.09819357660885282,
herman,n17-h4,storm.spm,3,-tm --sylvan:threads 1,stable,4,,17,4,ok,0.03295467304,102.92284960734348,0.24715571094531652,
herman,n17-h5,storm.spm,3,-tm --sylvan:threads 1,stable,5,,17,5,ok,0.05684208239,103.52518503234023,0.07518232392177189,
herman,n17-h6,storm.spm,3,-tm --sylvan:threads 1,stable,6,,17,6,ok,0.08444970738,104.47949787599889,0.05139937328378221,
herman,n17-h7,storm.spm,3,-tm --sylvan:threads 1,stable,7,,17,7,ok,0.1142782091,105.34017919733499,0.12755904049006186,
herman,n17-h8,storm.spm,3,-tm --sylvan:threads 1,stable,8,,17,8,ok,0.1452254011,105.81551542501741,0.2691923989026178,
herman,n17-h9,storm.spm,3,-tm --sylvan:threads 1,stable,9,,17,9,ok,0.1765164067,106.31495750934118,0.11518574517389574,
herman,n17-h10,storm.spm,3,-tm --sylvan:threads 1,stable,10,,17,10,ok,0.2076203636,107.71400322801976,0.5401368138316741,
herman,n17-h20,storm.spm,3,-tm --sylvan:threads 1,stable,20,,17,20,ok,0.4697421099,113.80583677764905,0.13736353704465182,
herman,n17-h30,storm.spm,3,-tm --sylvan:threads 1,stable,30,,17,30,ok,0.6406714371,120.88512557566476,1.095985364086693,
herman,n17-h40,storm.spm,3,-tm --sylvan:threads 1,stable,40,,17,40,ok,0.7525656265,126.92113040069428,0.21319581504756907,
herman,n17-h50,storm.spm,3,-tm --sylvan:threads 1,stable,50,,17,50,ok,0.8281557957,133.5672528243352,0.9169820939858194,
herman,n17-h60,storm.spm,3,-tm --sylvan:threads 1,stable,60,,17,60,ok,0.8802169372,139.23367351834895,0.21461261406313775,
herman,n17-h70,storm.spm,3,-tm --sylvan:threads 1,stable,70,,17,70,ok,0.9163881459,146.386046168666,0.353786886061859,
herman,n17-h80,storm.spm,3,-tm --sylvan:threads 1,stable,80,,17,80,ok,0.9416066036,152.6013466543324,0.5684629951908801,
herman,n17-h90,storm.spm,3,-tm --sylvan:threads 1,stable,90,,17,90,ok,0.9592114172,159.78166801069165,0.7079071520706572,
herman,n17-h100,storm.spm,3,-tm --sylvan:threads 1,stable,100,,17,100,ok,0.9715068235,166.36448683865214,1.7371272328372642,
herman,n17-h200,storm.spm,3,-tm --sylvan:threads 1,stable,200,,17,200,ok,0.9992113258,230.4073535390004,1.011516404584414,
herman,n17-h300,storm.spm,3,-tm --sylvan:threads 1,stable,300,,17,300,ok,0.9999781696,291.62071617430774,2.5968577357257083,
herman,n17-h400,storm.spm,3,-tm --sylvan:threads 1,stable,400,,17,400,ok,0.9999993957,346.95038984964293,0.5735926312626408,
herman,n17-h500,storm.spm,3,-tm --sylvan:threads 1,stable,500,,17,500,ok,0.9999999833,396.6133237249839,0.9642167591606681,
herman,n17-h600,storm.spm,3,-tm --sylvan:threads 1,stable,600,,17,600,ok,0.9999999995,443.06827120935003,0.185738974745146,
herman,n17-h700,storm.spm,3,-tm --sylvan:threads 1,stable,700,,17,700,ok,1.0,488.87318320434616,1.4098750264782147,
herman,n17-h800,storm.spm,3,-tm --sylvan:threads 1,stable,800,,17,800,ok,1.0,528.5780419303337,1.680893888354395,
herman,n17-h900,storm.spm,3,-tm --sylvan:threads 1,stable,900,,17,900,ok,1.0,565.4013742679963,1.0051084451717593,
herman,n17-h1000,storm.spm,3,-tm --sylvan:threads 1,stable,1000,,17,1000,ok,1.0,600.6872319860073,2.29481892337251,
