suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
herman,n17-h1,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,1,,17,1,ok,0.00018713,10.01559038204141,1.0878901423420757,0.04836307464402944,0.001177490979898721,0.055090162670239806,1.032799979671836,0.00048747798427939415,0.0073642016603858405,0.044699795940679944,0.0,
herman,n17-h2,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,2,,17,2,ok,0.00372921,10.031122934015002,1.0796275616739877,0.03480902044553783,0.0011581970029510558,0.06849091866752133,1.0111366430064663,0.0007174669881351292,0.014235643712364372,0.020845396448185456,0.0,
herman,n17-h3,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,3,,17,3,ok,0.01465386,10.019950056972448,1.0846784599707462,0.03286874833950529,0.001155406003817916,0.06053767962536464,1.0241407803453815,0.000900286016985774,0.0024555931192602526,0.03319503325904121,0.0,
herman,n17-h4,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,4,,17,4,ok,0.03295467,9.52477134799119,1.099549085018225,0.04107076310604109,0.0011514039942994714,0.07463838367645319,1.0249107013417718,0.0010902929934673011,0.016409113811109332,0.025430463642931802,0.0,
herman,n17-h5,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,5,,17,5,ok,0.05684208,10.034700082032941,1.0946520096622407,0.009615470772009402,0.0011461179819889367,0.06390559601519878,1.030746413647042,0.0013455059961415827,0.0045448536096327555,0.008211365089545933,0.0,
herman,n17-h6,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,6,,17,6,ok,0.08444971,10.09627158404328,1.0913771729877528,0.046170105424837286,0.001162772998213768,0.0742146320020159,1.017162540985737,0.0015416090027429163,0.028175633153758442,0.02222318816369034,0.0,
herman,n17-h7,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,7,,17,7,ok,0.11427821,9.958639804041013,1.0841611163535465,0.015424607282705822,0.0011780649656429887,0.06692075500419985,1.0172403613493468,0.0016956210019998252,0.017043002629075505,0.020724594193505568,0.0,
herman,n17-h8,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,8,,17,8,ok,0.1452254,9.921667110000271,1.070183660349964,0.03935288720064154,0.0012567969970405102,0.06403915401703368,1.0061445063329302,0.0018934669787995517,0.015443935424170618,0.02728595091285269,0.0,
herman,n17-h9,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,9,,17,9,ok,0.17651641,9.976326858974062,1.0666155566965851,0.029386387034446237,0.0011562349973246455,0.05325597101667275,1.0133595856799122,0.002024613961111754,0.006788838022866291,0.025493354344665695,0.0,
herman,n17-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,10,,17,10,ok,0.20762036,10.193755239015445,1.094015207355066,0.020613481959706588,0.0011794340098276734,0.06172320566838607,1.03229200168668,0.0022894429857842624,0.014878192857371788,0.020997383333277945,0.0,
