suite,case_id,tool,num_work_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
meeting,n12-h1,rubicon,3,goal,1,,12,1,ok,0.0,0.37318346166284755,0.00805224891497843,
meeting,n12-h2,rubicon,3,goal,2,,12,2,ok,3.7796594137e-13,0.42589476467886317,0.015300781351266671,
meeting,n12-h3,rubicon,3,goal,3,,12,3,ok,5.64408060816e-10,5.372113806331375,0.03804876785724647,
meeting,n12-h4,rubicon,3,goal,4,,12,4,ok,3.53929147403e-08,26.179884526335325,0.08361323125612775,
meeting,n12-h5,rubicon,3,goal,5,,12,5,ok,5.78697873266e-07,59.13256374634026,0.16342298507739966,
meeting,n12-h6,rubicon,3,goal,6,,12,6,ok,4.52868414318e-06,97.56919042568188,0.2151984693571386,
meeting,n12-h7,rubicon,3,goal,7,,12,7,ok,2.22879180505e-05,135.07222355197882,0.5770763589443201,
meeting,n12-h8,rubicon,3,goal,8,,12,8,ok,7.98876337684e-05,197.83911777766966,0.39824439576049364,
meeting,n12-h9,rubicon,3,goal,9,,12,9,ok,0.000227715907772,240.3380179676848,2.4824537807310882,
meeting,n12-h10,rubicon,3,goal,10,,12,10,ok,0.000546371493902,292.8323603779815,0.5365312356497747,
meeting,n12-h20,rubicon,3,goal,20,,12,20,timeout,,,0.0,Timed out after 1260 seconds
meeting,n12-h30,rubicon,3,goal,30,,12,30,timeout,,,0.0,Timed out after 1260 seconds
