suite,case_id,tool,num_work_runs,storm_extra_args,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
meeting,n12-h1,storm.spm,3,-tm --sylvan:threads 1,goal,1,,12,1,ok,0.0,150.8953243350261,1.2995039718934482,
meeting,n12-h2,storm.spm,3,-tm --sylvan:threads 1,goal,2,,12,2,ok,3.779659414e-13,162.67239642799055,0.6902702492998777,
meeting,n12-h3,storm.spm,3,-tm --sylvan:threads 1,goal,3,,12,3,ok,5.644080608e-10,165.79989126499277,0.9969954008646399,
meeting,n12-h4,storm.spm,3,-tm --sylvan:threads 1,goal,4,,12,4,ok,3.539291474e-08,168.2553559113294,0.8868993294415197,
meeting,n12-h5,storm.spm,3,-tm --sylvan:threads 1,goal,5,,12,5,ok,5.786978733e-07,171.21737358398968,1.0369253705463277,
meeting,n12-h6,storm.spm,3,-tm --sylvan:threads 1,goal,6,,12,6,ok,4.528684143e-06,174.67541860732794,1.4689510356949047,
meeting,n12-h7,storm.spm,3,-tm --sylvan:threads 1,goal,7,,12,7,ok,2.228791805e-05,176.01607120434832,0.8896136613952375,
meeting,n12-h8,storm.spm,3,-tm --sylvan:threads 1,goal,8,,12,8,ok,7.988763377e-05,178.17633471566174,0.8526456951179708,
meeting,n12-h9,storm.spm,3,-tm --sylvan:threads 1,goal,9,,12,9,ok,0.0002277159078,181.4518818289895,1.0483146245979407,
meeting,n12-h10,storm.spm,3,-tm --sylvan:threads 1,goal,10,,12,10,ok,0.0005463714939,181.44986991366991,0.8874315036220227,
meeting,n12-h20,storm.spm,3,-tm --sylvan:threads 1,goal,20,,12,20,ok,0.0417331924,191.31298136365754,0.317925956493322,
meeting,n12-h30,storm.spm,3,-tm --sylvan:threads 1,goal,30,,12,30,ok,0.1847598728,196.37714365534097,1.5232499359786804,
meeting,n12-h40,storm.spm,3,-tm --sylvan:threads 1,goal,40,,12,40,ok,0.3661022877,196.64513676601928,3.5633360960591856,
meeting,n12-h50,storm.spm,3,-tm --sylvan:threads 1,goal,50,,12,50,ok,0.5278988381,196.21457278132826,0.5826907775477196,
meeting,n12-h60,storm.spm,3,-tm --sylvan:threads 1,goal,60,,12,60,ok,0.6544402901,199.8399831240143,0.5475401536596382,
meeting,n12-h70,storm.spm,3,-tm --sylvan:threads 1,goal,70,,12,70,ok,0.7483507205,203.44788423201922,0.7351726255194544,
meeting,n12-h80,storm.spm,3,-tm --sylvan:threads 1,goal,80,,12,80,ok,0.8166408391,206.08298654699078,0.28499685135154335,
meeting,n12-h90,storm.spm,3,-tm --sylvan:threads 1,goal,90,,12,90,ok,0.8659925998,210.18379386731735,0.5205195790192534,
meeting,n12-h100,storm.spm,3,-tm --sylvan:threads 1,goal,100,,12,100,ok,0.9016671743,213.89157194133927,0.5010708773415885,
meeting,n12-h200,storm.spm,3,-tm --sylvan:threads 1,goal,200,,12,200,ok,0.9946228035,247.4542569910021,0.7894522760702515,
meeting,n12-h300,storm.spm,3,-tm --sylvan:threads 1,goal,300,,12,300,ok,0.9996526885,288.0612630743417,1.4535036367333727,
meeting,n12-h400,storm.spm,3,-tm --sylvan:threads 1,goal,400,,12,400,ok,0.9999764865,322.8350710909969,1.1844593053704342,
meeting,n12-h500,storm.spm,3,-tm --sylvan:threads 1,goal,500,,12,500,ok,0.9999983861,355.4089848800019,0.6720978433336274,
meeting,n12-h600,storm.spm,3,-tm --sylvan:threads 1,goal,600,,12,600,ok,0.9999998888,391.0522895169949,2.049638929516695,
meeting,n12-h700,storm.spm,3,-tm --sylvan:threads 1,goal,700,,12,700,ok,0.9999999923,424.4794438960186,0.4314713675588601,
meeting,n12-h800,storm.spm,3,-tm --sylvan:threads 1,goal,800,,12,800,ok,0.9999999995,460.47418509833125,0.9321603995253726,
meeting,n12-h900,storm.spm,3,-tm --sylvan:threads 1,goal,900,,12,900,ok,1.0,493.7045632803153,1.0534459146071409,
meeting,n12-h1000,storm.spm,3,-tm --sylvan:threads 1,goal,1000,,12,1000,ok,1.0,528.1519233773579,4.035813347145233,
