suite,case_id,tool,num_work_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
meeting,n2-h10,rubicon,3,goal,10,,2,10,ok,0.063251755397,0.36259863735176623,0.0037454404932644575,
meeting,n3-h10,rubicon,3,goal,10,,3,10,ok,0.0235439500572,0.37343411397887394,0.019961574375410227,
meeting,n4-h10,rubicon,3,goal,10,,4,10,ok,0.0104803867654,0.37951710432146984,0.016189785060796356,
meeting,n5-h10,rubicon,3,goal,10,,5,10,ok,0.0053817400052,0.39974855332790565,0.011602729793035038,
meeting,n6-h10,rubicon,3,goal,10,,6,10,ok,0.00310550674039,0.4228202676749788,0.016404160672840958,
meeting,n7-h10,rubicon,3,goal,10,,7,10,ok,0.00197378708099,0.5872370779979974,0.00976972202595814,
meeting,n8-h10,rubicon,3,goal,10,,8,10,ok,0.0013599478255,1.1058296089953121,0.015698145509200328,
meeting,n9-h10,rubicon,3,goal,10,,9,10,ok,0.00100270880099,3.678390663350001,0.047969529946259505,
meeting,n10-h10,rubicon,3,goal,10,,10,10,ok,0.000782680760943,15.050894650339615,0.02872403255608065,
meeting,n11-h10,rubicon,3,goal,10,,11,10,ok,0.000640928451051,65.05052155935361,0.20209240716750643,
meeting,n12-h10,rubicon,3,goal,10,,12,10,ok,0.000546371493902,291.2057157669915,0.5532261558734203,
