tessa_file,storm_file,case_id,tessa_probability,storm_probability,abs_diff,rel_diff,status
tessa.csv,storm.add.csv,n10-h10,7.82680000e-04,7.82680761e-04,7.61e-10,0.000%,ok
tessa.csv,storm.add.csv,n2-h10,6.32517600e-02,6.32517554e-02,4.60e-09,0.000%,ok
tessa.csv,storm.add.csv,n3-h10,2.35439500e-02,2.35439501e-02,6.00e-11,0.000%,ok
tessa.csv,storm.add.csv,n4-h10,1.04803900e-02,1.04803868e-02,3.23e-09,0.000%,ok
tessa.csv,storm.add.csv,n5-h10,5.38174000e-03,5.38174000e-03,5.00e-12,0.000%,ok
tessa.csv,storm.add.csv,n6-h10,3.10551000e-03,3.10550674e-03,3.26e-09,0.000%,ok
tessa.csv,storm.add.csv,n7-h10,1.97379000e-03,1.97378708e-03,2.92e-09,0.000%,ok
tessa.csv,storm.add.csv,n8-h10,1.35995000e-03,1.35994782e-03,2.17e-09,0.000%,ok
tessa.csv,storm.add.csv,n9-h10,1.00271000e-03,1.00270880e-03,1.20e-09,0.000%,ok
tessa.csv,storm.spm.csv,n10-h10,7.82680000e-04,7.82680761e-04,7.61e-10,0.000%,ok
tessa.csv,storm.spm.csv,n11-h10,6.40930000e-04,6.40928451e-04,1.55e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h10,5.46370000e-04,5.46371494e-04,1.49e-09,0.000%,ok
tessa.csv,storm.spm.csv,n2-h10,6.32517600e-02,6.32517554e-02,4.60e-09,0.000%,ok
tessa.csv,storm.spm.csv,n3-h10,2.35439500e-02,2.35439501e-02,6.00e-11,0.000%,ok
tessa.csv,storm.spm.csv,n4-h10,1.04803900e-02,1.04803868e-02,3.23e-09,0.000%,ok
tessa.csv,storm.spm.csv,n5-h10,5.38174000e-03,5.38174000e-03,5.00e-12,0.000%,ok
tessa.csv,storm.spm.csv,n6-h10,3.10551000e-03,3.10550674e-03,3.26e-09,0.000%,ok
tessa.csv,storm.spm.csv,n7-h10,1.97379000e-03,1.97378708e-03,2.92e-09,0.000%,ok
tessa.csv,storm.spm.csv,n8-h10,1.35995000e-03,1.35994782e-03,2.17e-09,0.000%,ok
tessa.csv,storm.spm.csv,n9-h10,1.00271000e-03,1.00270880e-03,1.20e-09,0.000%,ok
tessa.csv,rubicon.csv,n10-h10,7.82680000e-04,7.82680761e-04,7.61e-10,0.000%,ok
tessa.csv,rubicon.csv,n11-h10,6.40930000e-04,6.40928451e-04,1.55e-09,0.000%,ok
tessa.csv,rubicon.csv,n12-h10,5.46370000e-04,5.46371494e-04,1.49e-09,0.000%,ok
tessa.csv,rubicon.csv,n2-h10,6.32517600e-02,6.32517554e-02,4.60e-09,0.000%,ok
tessa.csv,rubicon.csv,n3-h10,2.35439500e-02,2.35439501e-02,5.72e-11,0.000%,ok
tessa.csv,rubicon.csv,n4-h10,1.04803900e-02,1.04803868e-02,3.23e-09,0.000%,ok
tessa.csv,rubicon.csv,n5-h10,5.38174000e-03,5.38174001e-03,5.20e-12,0.000%,ok
tessa.csv,rubicon.csv,n6-h10,3.10551000e-03,3.10550674e-03,3.26e-09,0.000%,ok
tessa.csv,rubicon.csv,n7-h10,1.97379000e-03,1.97378708e-03,2.92e-09,0.000%,ok
tessa.csv,rubicon.csv,n8-h10,1.35995000e-03,1.35994783e-03,2.17e-09,0.000%,ok
tessa.csv,rubicon.csv,n9-h10,1.00271000e-03,1.00270880e-03,1.20e-09,0.000%,ok
