suite,case_id,tool,num_work_runs,storm_extra_args,property,horizon,constants,Q,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
parqueues,q9-n3-h1,storm.add,3,-tm --sylvan:threads 1,target,1,"{""N"": 3}",9,3,1,ok,0.0,1.813057586317882,0.33903215539441767,
parqueues,q9-n3-h2,storm.add,3,-tm --sylvan:threads 1,target,2,"{""N"": 3}",9,3,2,ok,0.0,2.5359195496809357,0.0021102823122559735,
parqueues,q9-n3-h3,storm.add,3,-tm --sylvan:threads 1,target,3,"{""N"": 3}",9,3,3,ok,0.001981573309,13.647347706350653,0.046304346320544656,
parqueues,q9-n3-h4,storm.add,3,-tm --sylvan:threads 1,target,4,"{""N"": 3}",9,3,4,ok,0.01457853112,53.18262902600691,0.07597631862437353,
parqueues,q9-n3-h5,storm.add,3,-tm --sylvan:threads 1,target,5,"{""N"": 3}",9,3,5,ok,0.02758535924,95.32708914397517,0.2661297123322418,
parqueues,q9-n3-h6,storm.add,3,-tm --sylvan:threads 1,target,6,"{""N"": 3}",9,3,6,ok,0.03411829351,134.13485682965256,0.3304541251567405,
parqueues,q9-n3-h7,storm.add,3,-tm --sylvan:threads 1,target,7,"{""N"": 3}",9,3,7,ok,0.03642315309,175.97596314535863,0.6728972482013481,
parqueues,q9-n3-h8,storm.add,3,-tm --sylvan:threads 1,target,8,"{""N"": 3}",9,3,8,ok,0.03708667992,214.43473779400423,1.209896649541888,
parqueues,q9-n3-h9,storm.add,3,-tm --sylvan:threads 1,target,9,"{""N"": 3}",9,3,9,ok,0.03725475008,257.7595316270211,1.6427114874712725,
parqueues,q9-n3-h10,storm.add,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",9,3,10,ok,0.03729385656,296.10238646832295,0.4637753679886344,
parqueues,q9-n3-h20,storm.add,3,-tm --sylvan:threads 1,target,20,"{""N"": 3}",9,3,20,ok,0.03730469803,674.6620124320034,25.469961017429874,
parqueues,q9-n3-h30,storm.add,3,-tm --sylvan:threads 1,target,30,"{""N"": 3}",9,3,30,ok,0.03730469803,1027.7020141730125,3.4119714009213435,
parqueues,q9-n3-h40,storm.add,3,-tm --sylvan:threads 1,target,40,"{""N"": 3}",9,3,40,ok,0.03730469803,1171.8255745439867,2.357781395681733,
parqueues,q9-n3-h50,storm.add,3,-tm --sylvan:threads 1,target,50,"{""N"": 3}",9,3,50,ok,0.03730469803,1170.78721602166,2.0241049598699385,
