suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,Q,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
parqueues,q9-n3-h1,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,1,"{""N"": 3}",9,3,1,ok,0.0,15.84176037501311,0.9504508649503501,0.014746380752090216,0.012177248951047659,0.045299626304768026,0.9051512386455821,0.0006198380142450333,0.004928957964124233,0.0196752764955756,0.0,
parqueues,q9-n3-h2,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,2,"{""N"": 3}",9,3,2,ok,0.0,8.407234207959846,0.9156648732993441,0.05906180788748375,0.0007084580138325691,0.04288090231906002,0.8727839709802842,0.0008685929933562875,0.008032116956400465,0.0550350219470103,0.0,
parqueues,q9-n3-h3,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,3,"{""N"": 3}",9,3,3,ok,0.00198157,8.228102689026855,0.9275367899875467,0.00734600114765818,0.0007498599588871002,0.03853546833852306,0.8890013216490237,0.0011500229593366385,0.010199470501820813,0.017536378539450788,0.0,
parqueues,q9-n3-h4,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,4,"{""N"": 3}",9,3,4,ok,0.01457853,8.429778731020633,0.95323367533274,0.015506594470754876,0.0007376879802905023,0.04311140966213619,0.9101222656706037,0.001433064986485988,0.01391688316842055,0.0018880581916824268,0.0,
parqueues,q9-n3-h5,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,5,"{""N"": 3}",9,3,5,ok,0.02758536,8.43744497699663,0.9210001369938254,0.022923869696490212,0.0006546269869431853,0.039168586993279554,0.8818315500005459,0.0017111939960159361,0.007637423980536323,0.02268567393171039,0.0,
parqueues,q9-n3-h6,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,6,"{""N"": 3}",9,3,6,ok,0.03411829,8.151503626955673,0.8655755253663907,0.0077773511647304195,0.0007582249818369746,0.03168742403310413,0.8338881013332866,0.002028485992923379,0.0004164510935589784,0.00771999819064288,0.0,
parqueues,q9-n3-h7,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,7,"{""N"": 3}",9,3,7,ok,0.03642315,8.05031425098423,0.8896391163386094,0.030568782297691867,0.0006684029940515757,0.03622834634734318,0.8534107699912662,0.0022233810159377754,0.010820596374680485,0.024059041962836647,0.0,
parqueues,q9-n3-h8,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,8,"{""N"": 3}",9,3,8,ok,0.03708668,7.988294042006601,0.8733817653458876,0.012617524111674099,0.000740551040507853,0.03205634568197032,0.8413254196639173,0.002526305033825338,0.0009268510152841805,0.011699170334469195,0.0,
parqueues,q9-n3-h9,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,9,"{""N"": 3}",9,3,9,ok,0.03725475,8.354619758960325,0.9094487446709536,0.042881746702280635,0.0007417210144922137,0.03238073398824781,0.8770680106827058,0.002829226024914533,0.002949611403500653,0.040232639547027556,0.0,
parqueues,q9-n3-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,10,"{""N"": 3}",9,3,10,ok,0.03729386,8.22619366098661,0.9073947600166624,0.018336650338602406,0.0007823699852451682,0.038806461670901626,0.8685882983457608,0.0031016329885460436,0.007237889908027817,0.019420742763414565,0.0,
parqueues,q9-n3-h20,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,20,"{""N"": 3}",9,3,20,ok,0.0373047,8.438171636022162,0.9534015293271901,0.024456491474680195,0.0006925170309841633,0.03428313399975499,0.9191183953274352,0.005791581002995372,0.003266641394157725,0.022134471078864997,0.0,
