suite,case_id,tool,num_work_runs,geni_mode,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
weather-factory,n13-h1,geni,3,monolithic,allStrike,1,,13,1,ok,-5e-07,0.39617318268089247,0.03274036966522672,
weather-factory,n13-h2,geni,3,monolithic,allStrike,2,,13,2,ok,1.2e-06,2.6636313233175315,0.08741637098429546,
weather-factory,n13-h3,geni,3,monolithic,allStrike,3,,13,3,ok,7e-07,6.5901774963131174,0.040250168876873146,
weather-factory,n13-h4,geni,3,monolithic,allStrike,4,,13,4,ok,1e-07,10.637663444989206,0.10419984599103246,
weather-factory,n13-h5,geni,3,monolithic,allStrike,5,,13,5,ok,-1.1e-06,14.673945158331966,0.035042271519179144,
weather-factory,n13-h6,geni,3,monolithic,allStrike,6,,13,6,ok,-1.1e-06,18.87882555734056,0.19631244130047845,
weather-factory,n13-h7,geni,3,monolithic,allStrike,7,,13,7,ok,-1.2e-06,22.623655222007073,0.07174963524966488,
weather-factory,n13-h8,geni,3,monolithic,allStrike,8,,13,8,ok,-1.3e-06,26.536442712007556,0.03188632766207279,
weather-factory,n13-h9,geni,3,monolithic,allStrike,9,,13,9,ok,-3e-06,30.518971738677163,0.12405596669828797,
weather-factory,n13-h10,geni,3,monolithic,allStrike,10,,13,10,ok,-2.4e-06,34.636687187012285,0.2108173656493529,
weather-factory,n13-h20,geni,3,monolithic,allStrike,20,,13,20,ok,-2.9e-06,74.58814839101008,0.16312123703074374,
weather-factory,n13-h30,geni,3,monolithic,allStrike,30,,13,30,ok,2.3e-06,115.01170896331314,0.23868722195994874,
weather-factory,n13-h40,geni,3,monolithic,allStrike,40,,13,40,ok,8e-07,154.77224232165221,0.5162132536440974,
weather-factory,n13-h50,geni,3,monolithic,allStrike,50,,13,50,ok,-1e-07,194.81506622799984,0.796373906605069,
weather-factory,n13-h60,geni,3,monolithic,allStrike,60,,13,60,ok,-2e-06,216.11850921231476,3.6594015334495635,
weather-factory,n13-h70,geni,3,monolithic,allStrike,70,,13,70,ok,-7.3e-06,249.88532873167424,0.45965156934767215,
weather-factory,n13-h80,geni,3,monolithic,allStrike,80,,13,80,ok,-8.5e-06,287.3750895736739,0.8553075509260454,
weather-factory,n13-h90,geni,3,monolithic,allStrike,90,,13,90,ok,-1.12e-05,323.38786891131895,0.6295679610615977,
weather-factory,n13-h100,geni,3,monolithic,allStrike,100,,13,100,ok,-1.25e-05,359.4227312800164,0.2337416304445072,
weather-factory,n13-h200,geni,3,monolithic,allStrike,200,,13,200,ok,-9.4e-06,728.3163926103152,1.4557465799815754,
weather-factory,n13-h300,geni,3,monolithic,allStrike,300,,13,300,ok,-1.07e-05,1098.05875398564,1.2991331497070755,
weather-factory,n13-h400,geni,3,monolithic,allStrike,400,,13,400,timeout,,,0.0,Timed out after 1260 seconds
weather-factory,n13-h500,geni,3,monolithic,allStrike,500,,13,500,timeout,,,0.0,Timed out after 1260 seconds
