suite,case_id,tool,num_work_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
weather-factory,n13-h1,rubicon,3,allStrike,1,,13,1,ok,4.08526964548e-10,0.3772883706648524,0.020236611303108176,
weather-factory,n13-h2,rubicon,3,allStrike,2,,13,2,ok,5.26200610021e-10,0.465610532691547,0.03413842159588219,
weather-factory,n13-h3,rubicon,3,allStrike,3,,13,3,ok,6.62865726165e-10,2.099607656302396,0.020934403136171936,
weather-factory,n13-h4,rubicon,3,allStrike,4,,13,4,ok,7.98774148529e-10,3.736626010989615,0.016604006916306167,
weather-factory,n13-h5,rubicon,3,allStrike,5,,13,5,ok,9.34936094101e-10,5.746895161651385,0.02790013570339995,
weather-factory,n13-h6,rubicon,3,allStrike,6,,13,6,ok,1.07110123725e-09,6.670974078995641,0.06622864804161903,
weather-factory,n13-h7,rubicon,3,allStrike,7,,13,7,ok,1.20727221136e-09,9.983725601011733,0.03900157139989836,
weather-factory,n13-h8,rubicon,3,allStrike,8,,13,8,ok,1.34344389735e-09,11.74901059299009,0.08375187724249229,
weather-factory,n13-h9,rubicon,3,allStrike,9,,13,9,ok,1.47961582181e-09,12.949659568994926,0.029667257943525985,
weather-factory,n13-h10,rubicon,3,allStrike,10,,13,10,ok,1.61578779544e-09,14.617392454315754,0.1317391885070543,
weather-factory,n13-h20,rubicon,3,allStrike,20,,13,20,ok,2.97750769389e-09,35.25797764332189,0.06629529644939502,
weather-factory,n13-h30,rubicon,3,allStrike,30,,13,30,ok,4.3392275958e-09,66.91092617468287,0.19855323437986305,
weather-factory,n13-h40,rubicon,3,allStrike,40,,13,40,ok,5.70094749585e-09,111.87975787967055,0.2317742147880961,
weather-factory,n13-h50,rubicon,3,allStrike,50,,13,50,ok,7.06266739405e-09,146.88100805166565,0.2815621275536334,
weather-factory,n13-h60,rubicon,3,allStrike,60,,13,60,ok,8.42438729039e-09,183.54049443500116,0.3478798477319202,
weather-factory,n13-h70,rubicon,3,allStrike,70,,13,70,ok,9.78610718488e-09,234.05647118601095,0.183407443879339,
weather-factory,n13-h80,rubicon,3,allStrike,80,,13,80,ok,1.11478270775e-08,324.1064375266433,0.35752973668627686,
weather-factory,n13-h90,rubicon,3,allStrike,90,,13,90,ok,1.25095469683e-08,386.86737859532394,0.6084076441518885,
weather-factory,n13-h100,rubicon,3,allStrike,100,,13,100,ok,1.38712668572e-08,452.30291505732265,1.7933069890426356,
weather-factory,n13-h200,rubicon,3,allStrike,200,,13,200,timeout,,,0.0,Timed out after 1260 seconds
weather-factory,n13-h300,rubicon,3,allStrike,300,,13,300,timeout,,,0.0,Timed out after 1260 seconds
