tessa_file,storm_file,case_id,tessa_probability,storm_probability,abs_diff,rel_diff,status
tessa.csv,storm.spm.csv,n13-h1,4.08526965e-10,4.08526964e-10,5.00e-19,0.000%,ok
tessa.csv,storm.spm.csv,n13-h10,1.61578780e-09,1.61578780e-09,5.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h100,1.38712669e-08,1.38712669e-08,4.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n13-h1000,1.36426049e-07,1.36426049e-07,3.00e-16,0.000%,ok
tessa.csv,storm.spm.csv,n13-h2,5.26200610e-10,5.26200610e-10,0.00e+00,0.000%,ok
tessa.csv,storm.spm.csv,n13-h20,2.97750769e-09,2.97750769e-09,4.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h200,2.74884656e-08,2.74884656e-08,4.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n13-h3,6.62865726e-10,6.62865726e-10,2.00e-19,0.000%,ok
tessa.csv,storm.spm.csv,n13-h30,4.33922760e-09,4.33922760e-09,4.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h300,4.11056642e-08,4.11056642e-08,5.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n13-h4,7.98774149e-10,7.98774148e-10,5.00e-19,0.000%,ok
tessa.csv,storm.spm.csv,n13-h40,5.70094750e-09,5.70094750e-09,4.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h400,5.47228627e-08,5.47228627e-08,4.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n13-h5,9.34936094e-10,9.34936094e-10,1.00e-19,0.000%,ok
tessa.csv,storm.spm.csv,n13-h50,7.06266739e-09,7.06266739e-09,4.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h500,6.83400609e-08,6.83400609e-08,1.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n13-h6,1.07110124e-09,1.07110124e-09,3.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h60,8.42438729e-09,8.42438729e-09,0.00e+00,0.000%,ok
tessa.csv,storm.spm.csv,n13-h600,8.19572589e-08,8.19572589e-08,4.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n13-h7,1.20727221e-09,1.20727221e-09,1.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h70,9.78610718e-09,9.78610718e-09,5.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h700,9.55744568e-08,9.55744568e-08,0.00e+00,0.000%,ok
tessa.csv,storm.spm.csv,n13-h8,1.34344390e-09,1.34344390e-09,3.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h80,1.11478271e-08,1.11478271e-08,2.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n13-h800,1.09191654e-07,1.09191654e-07,5.00e-16,0.000%,ok
tessa.csv,storm.spm.csv,n13-h9,1.47961582e-09,1.47961582e-09,2.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n13-h90,1.25095470e-08,1.25095470e-08,3.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n13-h900,1.22808852e-07,1.22808852e-07,0.00e+00,0.000%,ok
tessa.csv,rubicon.csv,n13-h1,4.08526965e-10,4.08526965e-10,4.52e-19,0.000%,ok
tessa.csv,rubicon.csv,n13-h10,1.61578780e-09,1.61578780e-09,4.56e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h100,1.38712669e-08,1.38712669e-08,4.28e-17,0.000%,ok
tessa.csv,rubicon.csv,n13-h2,5.26200610e-10,5.26200610e-10,2.10e-20,0.000%,ok
tessa.csv,rubicon.csv,n13-h20,2.97750769e-09,2.97750769e-09,3.89e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h3,6.62865726e-10,6.62865726e-10,1.65e-19,0.000%,ok
tessa.csv,rubicon.csv,n13-h30,4.33922760e-09,4.33922760e-09,4.20e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h4,7.98774149e-10,7.98774149e-10,4.71e-19,0.000%,ok
tessa.csv,rubicon.csv,n13-h40,5.70094750e-09,5.70094750e-09,4.15e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h5,9.34936094e-10,9.34936094e-10,1.01e-19,0.000%,ok
tessa.csv,rubicon.csv,n13-h50,7.06266739e-09,7.06266739e-09,4.05e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h6,1.07110124e-09,1.07110124e-09,2.75e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h60,8.42438729e-09,8.42438729e-09,3.90e-19,0.000%,ok
tessa.csv,rubicon.csv,n13-h7,1.20727221e-09,1.20727221e-09,1.36e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h70,9.78610718e-09,9.78610718e-09,4.88e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h8,1.34344390e-09,1.34344390e-09,2.65e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h80,1.11478271e-08,1.11478271e-08,2.25e-17,0.000%,ok
tessa.csv,rubicon.csv,n13-h9,1.47961582e-09,1.47961582e-09,1.81e-18,0.000%,ok
tessa.csv,rubicon.csv,n13-h90,1.25095470e-08,1.25095470e-08,3.17e-17,0.000%,ok
tessa.csv,geni.csv,n13-h1,4.08526965e-10,-5.00000000e-07,5.00e-07,100.082%,ok
tessa.csv,geni.csv,n13-h10,1.61578780e-09,-2.40000000e-06,2.40e-06,100.067%,ok
tessa.csv,geni.csv,n13-h100,1.38712669e-08,-1.25000000e-05,1.25e-05,100.111%,MISMATCH
tessa.csv,geni.csv,n13-h2,5.26200610e-10,1.20000000e-06,1.20e-06,99.956%,ok
tessa.csv,geni.csv,n13-h20,2.97750769e-09,-2.90000000e-06,2.90e-06,100.103%,ok
tessa.csv,geni.csv,n13-h200,2.74884656e-08,-9.40000000e-06,9.43e-06,100.292%,ok
tessa.csv,geni.csv,n13-h3,6.62865726e-10,7.00000000e-07,6.99e-07,99.905%,ok
tessa.csv,geni.csv,n13-h30,4.33922760e-09,2.30000000e-06,2.30e-06,99.811%,ok
tessa.csv,geni.csv,n13-h300,4.11056642e-08,-1.07000000e-05,1.07e-05,100.384%,MISMATCH
tessa.csv,geni.csv,n13-h4,7.98774149e-10,1.00000000e-07,9.92e-08,99.201%,ok
tessa.csv,geni.csv,n13-h40,5.70094750e-09,8.00000000e-07,7.94e-07,99.287%,ok
tessa.csv,geni.csv,n13-h5,9.34936094e-10,-1.10000000e-06,1.10e-06,100.085%,ok
tessa.csv,geni.csv,n13-h50,7.06266739e-09,-1.00000000e-07,1.07e-07,107.063%,ok
tessa.csv,geni.csv,n13-h6,1.07110124e-09,-1.10000000e-06,1.10e-06,100.097%,ok
tessa.csv,geni.csv,n13-h60,8.42438729e-09,-2.00000000e-06,2.01e-06,100.421%,ok
tessa.csv,geni.csv,n13-h7,1.20727221e-09,-1.20000000e-06,1.20e-06,100.101%,ok
tessa.csv,geni.csv,n13-h70,9.78610718e-09,-7.30000000e-06,7.31e-06,100.134%,ok
tessa.csv,geni.csv,n13-h8,1.34344390e-09,-1.30000000e-06,1.30e-06,100.103%,ok
tessa.csv,geni.csv,n13-h80,1.11478271e-08,-8.50000000e-06,8.51e-06,100.131%,ok
tessa.csv,geni.csv,n13-h9,1.47961582e-09,-3.00000000e-06,3.00e-06,100.049%,ok
tessa.csv,geni.csv,n13-h90,1.25095470e-08,-1.12000000e-05,1.12e-05,100.112%,MISMATCH
