suite,case_id,tool,num_work_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
weather-factory,n2-h10,rubicon,3,allStrike,10,,2,10,ok,0.184058939683,0.3682310829948013,0.01617337793282512,
weather-factory,n7-h10,rubicon,3,allStrike,10,,7,10,ok,6.76364387227e-05,0.42527809399568167,0.0238095736763331,
weather-factory,n8-h10,rubicon,3,allStrike,10,,8,10,ok,1.29886321302e-05,0.5268420846744751,0.02423525859555253,
weather-factory,n9-h10,rubicon,3,allStrike,10,,9,10,ok,2.51855574663e-06,0.7346096853143536,0.018099166591929318,
weather-factory,n10-h10,rubicon,3,allStrike,10,,10,10,ok,3.99354867783e-07,1.3783419609923537,0.003596473078293291,
weather-factory,n11-h10,rubicon,3,allStrike,10,,11,10,ok,6.3536604324e-08,2.7020498766602636,0.031144691760256804,
weather-factory,n12-h10,rubicon,3,allStrike,10,,12,10,ok,1.0142438879e-08,5.963908156651693,0.026308448067171714,
weather-factory,n13-h10,rubicon,3,allStrike,10,,13,10,ok,1.61578779544e-09,14.518856246645251,0.05894358261584593,
weather-factory,n15-h10,rubicon,3,allStrike,10,,15,10,ok,4.12349044053e-11,104.31486427002044,0.16775015283180714,
weather-factory,n16-h10,rubicon,3,allStrike,10,,16,10,ok,6.32137891893e-12,394.2940106886672,0.45501935140259786,
