tessa_file,storm_file,case_id,tessa_probability,storm_probability,abs_diff,rel_diff,status
tessa.csv,storm.add.csv,n10-h10,3.99354868e-07,3.99354868e-07,2.00e-16,0.000%,ok
tessa.csv,storm.add.csv,n11-h10,6.35366043e-08,6.35366043e-08,2.00e-17,0.000%,ok
tessa.csv,storm.add.csv,n2-h10,1.84058940e-01,1.84058940e-01,3.00e-10,0.000%,ok
tessa.csv,storm.add.csv,n7-h10,6.76364387e-05,6.76364387e-05,2.00e-14,0.000%,ok
tessa.csv,storm.add.csv,n8-h10,1.29886321e-05,1.29886321e-05,3.00e-14,0.000%,ok
tessa.csv,storm.add.csv,n9-h10,2.51855575e-06,2.51855575e-06,3.00e-15,0.000%,ok
tessa.csv,storm.spm.csv,n10-h10,3.99354868e-07,3.99354868e-07,2.00e-16,0.000%,ok
tessa.csv,storm.spm.csv,n11-h10,6.35366043e-08,6.35366043e-08,2.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n12-h10,1.01424389e-08,1.01424389e-08,2.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n13-h10,1.61578780e-09,1.61578780e-09,5.00e-18,0.000%,ok
tessa.csv,storm.spm.csv,n2-h10,1.84058940e-01,1.84058940e-01,3.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n7-h10,6.76364387e-05,6.76364387e-05,2.00e-14,0.000%,ok
tessa.csv,storm.spm.csv,n8-h10,1.29886321e-05,1.29886321e-05,3.00e-14,0.000%,ok
tessa.csv,storm.spm.csv,n9-h10,2.51855575e-06,2.51855575e-06,3.00e-15,0.000%,ok
tessa.csv,rubicon.csv,n10-h10,3.99354868e-07,3.99354868e-07,2.17e-16,0.000%,ok
tessa.csv,rubicon.csv,n11-h10,6.35366043e-08,6.35366043e-08,2.40e-17,0.000%,ok
tessa.csv,rubicon.csv,n12-h10,1.01424389e-08,1.01424389e-08,2.10e-17,0.000%,ok
tessa.csv,rubicon.csv,n13-h10,1.61578780e-09,1.61578780e-09,4.56e-18,0.000%,ok
tessa.csv,rubicon.csv,n15-h10,4.12349044e-11,4.12349044e-11,5.30e-21,0.000%,ok
tessa.csv,rubicon.csv,n16-h10,6.32137892e-12,6.32137892e-12,1.07e-21,0.000%,ok
tessa.csv,rubicon.csv,n2-h10,1.84058940e-01,1.84058940e-01,3.17e-10,0.000%,ok
tessa.csv,rubicon.csv,n7-h10,6.76364387e-05,6.76364387e-05,2.27e-14,0.000%,ok
tessa.csv,rubicon.csv,n8-h10,1.29886321e-05,1.29886321e-05,3.02e-14,0.000%,ok
tessa.csv,rubicon.csv,n9-h10,2.51855575e-06,2.51855575e-06,3.37e-15,0.000%,ok
tessa.csv,geni.csv,n10-h10,3.99354868e-07,9.00000000e-07,5.01e-07,55.627%,ok
tessa.csv,geni.csv,n11-h10,6.35366043e-08,5.00000000e-07,4.36e-07,87.293%,ok
tessa.csv,geni.csv,n12-h10,1.01424389e-08,-2.00000000e-06,2.01e-06,100.507%,ok
tessa.csv,geni.csv,n13-h10,1.61578780e-09,-2.40000000e-06,2.40e-06,100.067%,ok
tessa.csv,geni.csv,n15-h10,4.12349044e-11,3.00000000e-06,3.00e-06,99.999%,ok
tessa.csv,geni.csv,n16-h10,6.32137892e-12,1.80000000e-06,1.80e-06,100.000%,ok
tessa.csv,geni.csv,n2-h10,1.84058940e-01,1.84058700e-01,2.40e-07,0.000%,ok
tessa.csv,geni.csv,n7-h10,6.76364387e-05,6.87000000e-05,1.06e-06,1.548%,ok
tessa.csv,geni.csv,n8-h10,1.29886321e-05,1.25000000e-05,4.89e-07,3.909%,ok
tessa.csv,geni.csv,n9-h10,2.51855575e-06,1.70000000e-06,8.19e-07,48.150%,ok
