suite,case_id,tool,storm_extra_args,num_trials,property,horizon,constants,N,H,status,probability,elapsed_seconds,error_message
herman,n17-h1,storm.spm,-tm --sylvan:threads 1,1,stable,1,,17,1,ok,0.0001871280341,111.55868463695515,
herman,n17-h2,storm.spm,-tm --sylvan:threads 1,1,stable,2,,17,2,ok,0.003729208483,116.1482792289462,
herman,n17-h3,storm.spm,-tm --sylvan:threads 1,1,stable,3,,17,3,ok,0.01465386225,118.5723088379018,
herman,n17-h4,storm.spm,-tm --sylvan:threads 1,1,stable,4,,17,4,ok,0.03295467304,120.08616583503317,
herman,n17-h5,storm.spm,-tm --sylvan:threads 1,1,stable,5,,17,5,ok,0.05684208239,119.14976305200253,
herman,n17-h6,storm.spm,-tm --sylvan:threads 1,1,stable,6,,17,6,ok,0.08444970738,120.09155055799056,
herman,n17-h7,storm.spm,-tm --sylvan:threads 1,1,stable,7,,17,7,ok,0.1142782091,120.65772662300151,
herman,n17-h8,storm.spm,-tm --sylvan:threads 1,1,stable,8,,17,8,ok,0.1452254011,126.11838604998775,
herman,n17-h9,storm.spm,-tm --sylvan:threads 1,1,stable,9,,17,9,ok,0.1765164067,123.57922247797251,
herman,n17-h10,storm.spm,-tm --sylvan:threads 1,1,stable,10,,17,10,ok,0.2076203636,125.15839385404252,
herman,n17-h20,storm.spm,-tm --sylvan:threads 1,1,stable,20,,17,20,ok,0.4697421099,129.88411346205976,
herman,n17-h30,storm.spm,-tm --sylvan:threads 1,1,stable,30,,17,30,ok,0.6406714371,141.31056114996318,
herman,n17-h40,storm.spm,-tm --sylvan:threads 1,1,stable,40,,17,40,ok,0.7525656265,146.5406762410421,
herman,n17-h50,storm.spm,-tm --sylvan:threads 1,1,stable,50,,17,50,ok,0.8281557957,153.55154918902554,
herman,n17-h60,storm.spm,-tm --sylvan:threads 1,1,stable,60,,17,60,ok,0.8802169372,161.42857333703432,
herman,n17-h70,storm.spm,-tm --sylvan:threads 1,1,stable,70,,17,70,ok,0.9163881459,168.03353146405425,
herman,n17-h80,storm.spm,-tm --sylvan:threads 1,1,stable,80,,17,80,ok,0.9416066036,175.5754856429994,
herman,n17-h90,storm.spm,-tm --sylvan:threads 1,1,stable,90,,17,90,ok,0.9592114172,185.16697317000944,
herman,n17-h100,storm.spm,-tm --sylvan:threads 1,1,stable,100,,17,100,ok,0.9715068235,193.53936942201108,
herman,n17-h200,storm.spm,-tm --sylvan:threads 1,1,stable,200,,17,200,ok,0.9992113258,262.01929972402286,
herman,n17-h300,storm.spm,-tm --sylvan:threads 1,1,stable,300,,17,300,ok,0.9999781696,325.3177095389692,
herman,n17-h400,storm.spm,-tm --sylvan:threads 1,1,stable,400,,17,400,ok,0.9999993957,387.66000432299916,
herman,n17-h500,storm.spm,-tm --sylvan:threads 1,1,stable,500,,17,500,ok,0.9999999833,443.2163657010533,
herman,n17-h600,storm.spm,-tm --sylvan:threads 1,1,stable,600,,17,600,ok,0.9999999995,494.811540374998,
herman,n17-h700,storm.spm,-tm --sylvan:threads 1,1,stable,700,,17,700,ok,1.0,546.2634205119684,
herman,n17-h800,storm.spm,-tm --sylvan:threads 1,1,stable,800,,17,800,ok,1.0,596.7513152679894,
herman,n17-h900,storm.spm,-tm --sylvan:threads 1,1,stable,900,,17,900,ok,1.0,629.5568719781004,
herman,n17-h1000,storm.spm,-tm --sylvan:threads 1,1,stable,1000,,17,1000,ok,1.0,673.8964346050052,
