suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
herman,n17-h1,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,1,,17,1,ok,0.00018713,9.564921487995889,1.02334248367697,0.044229412861865394,0.0015581789775751531,0.06664824734131496,0.9566942363356551,0.0005054810317233205,0.012502670870537021,0.040999467284871666,0.0,
herman,n17-h2,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,2,,17,2,ok,0.00372921,9.345504814991727,1.0304738383274525,0.06380332993951782,0.001017427013721317,0.08908372968047236,0.9413901086469801,0.000696978997439146,0.02286533105891377,0.042799162904366216,0.0,
herman,n17-h3,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,3,,17,3,ok,0.01465386,9.086363266978879,0.931484668670843,0.03990632450786157,0.001032737025525421,0.05802062666043639,0.8734640420104066,0.0008813950116746128,0.008313794454760975,0.03280983649338766,0.0,
herman,n17-h4,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,4,,17,4,ok,0.03295467,9.702742439985741,1.0453895523678511,0.02605057844141662,0.0011726050288416445,0.05245683233564099,0.9929327200322101,0.0012105170171707869,0.005797422685287872,0.022894872118356686,0.0,
herman,n17-h5,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,5,,17,5,ok,0.05684208,10.297204473987222,1.2023680496301192,0.1042553941301457,0.0010771210072562099,0.06725665998722737,1.1351113896428917,0.0013025489752180874,0.034661372236224335,0.06978018075402627,0.0,
herman,n17-h6,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,6,,17,6,ok,0.08444971,10.639210568973795,1.0818524586696487,0.060887529652213335,0.0011777269537560642,0.06407765533852701,1.0177748033311218,0.0015318009536713362,0.004641764024981938,0.06407718783265816,0.0,
herman,n17-h7,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,7,,17,7,ok,0.11427821,10.469396842003334,1.1515726379972573,0.13044547099044068,0.0012011450016871095,0.07114363566506654,1.0804290023321907,0.0016844450146891177,0.0235198519891649,0.11500244250894698,0.0,
herman,n17-h8,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,8,,17,8,ok,0.1452254,10.010020487010479,1.0909254433160338,0.15279416798273962,0.0035074310144409537,0.05795245033611233,1.0329729929799214,0.002308883995283395,0.01870672756212007,0.1485076228475735,0.0,
herman,n17-h9,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,9,,17,9,ok,0.17651641,10.224769329011906,1.055989406692485,0.11148302171237855,0.0015830890042707324,0.09055585101790105,0.965433555674584,0.0020903199911117554,0.021554180601864963,0.09761345223391027,0.0,
herman,n17-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,10,,17,10,ok,0.20762036,9.842151766002644,1.076390359007443,0.05456805793622023,0.0012402540305629373,0.0808868163342898,0.9955035426731532,0.0022739769774489105,0.012233361380058509,0.05461172893155743,0.0,
herman,n17-h20,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,stable,20,,17,20,ok,0.46974211,9.496577055950183,1.006301769016621,0.03436298032568315,0.0012349499738775194,0.06564841400055836,0.9406533550160626,0.0041528199799358845,0.011304674888277187,0.02457914061340934,0.0,
