tessa_file,storm_file,case_id,tessa_probability,storm_probability,abs_diff,rel_diff,status
tessa.csv,storm.add.csv,n17-h1,1.87130000e-04,1.87128034e-04,1.97e-09,0.001%,ok
tessa.csv,storm.add.csv,n17-h10,2.07620360e-01,2.07620364e-01,3.60e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h2,3.72921000e-03,3.72920848e-03,1.52e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h20,4.69742110e-01,4.69742110e-01,1.00e-10,0.000%,ok
tessa.csv,storm.add.csv,n17-h3,1.46538600e-02,1.46538623e-02,2.25e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h30,6.40671440e-01,6.40671437e-01,2.90e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h4,3.29546700e-02,3.29546730e-02,3.04e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h40,7.52565630e-01,7.52565627e-01,3.50e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h5,5.68420800e-02,5.68420824e-02,2.39e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h50,8.28155800e-01,8.28155796e-01,4.30e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h6,8.44497100e-02,8.44497074e-02,2.62e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h60,8.80216940e-01,8.80216937e-01,2.80e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h7,1.14278210e-01,1.14278209e-01,9.00e-10,0.000%,ok
tessa.csv,storm.add.csv,n17-h70,9.16388150e-01,9.16388146e-01,4.10e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h8,1.45225400e-01,1.45225401e-01,1.10e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h80,9.41606600e-01,9.41606604e-01,3.60e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h9,1.76516410e-01,1.76516407e-01,3.30e-09,0.000%,ok
tessa.csv,storm.add.csv,n17-h90,9.59211420e-01,9.59211417e-01,2.80e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h1,1.87130000e-04,1.87128034e-04,1.97e-09,0.001%,ok
tessa.csv,storm.spm.csv,n17-h10,2.07620360e-01,2.07620364e-01,3.60e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h100,9.71506820e-01,9.71506823e-01,3.50e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h1000,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
tessa.csv,storm.spm.csv,n17-h2,3.72921000e-03,3.72920848e-03,1.52e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h20,4.69742110e-01,4.69742110e-01,1.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n17-h200,9.99211330e-01,9.99211326e-01,4.20e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h3,1.46538600e-02,1.46538623e-02,2.25e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h30,6.40671440e-01,6.40671437e-01,2.90e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h300,9.99978170e-01,9.99978170e-01,4.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n17-h4,3.29546700e-02,3.29546730e-02,3.04e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h40,7.52565630e-01,7.52565627e-01,3.50e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h400,9.99999400e-01,9.99999396e-01,4.30e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h5,5.68420800e-02,5.68420824e-02,2.39e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h50,8.28155800e-01,8.28155796e-01,4.30e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h500,9.99999980e-01,9.99999983e-01,3.30e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h6,8.44497100e-02,8.44497074e-02,2.62e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h60,8.80216940e-01,8.80216937e-01,2.80e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h600,1.00000000e+00,9.99999999e-01,5.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n17-h7,1.14278210e-01,1.14278209e-01,9.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n17-h70,9.16388150e-01,9.16388146e-01,4.10e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h700,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
tessa.csv,storm.spm.csv,n17-h8,1.45225400e-01,1.45225401e-01,1.10e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h80,9.41606600e-01,9.41606604e-01,3.60e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h800,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
tessa.csv,storm.spm.csv,n17-h9,1.76516410e-01,1.76516407e-01,3.30e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h90,9.59211420e-01,9.59211417e-01,2.80e-09,0.000%,ok
tessa.csv,storm.spm.csv,n17-h900,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
