tessa_file,storm_file,case_id,tessa_probability,storm_probability,abs_diff,rel_diff,status
tessa.csv,storm.add.csv,n11-h100,9.99791900e-01,9.99791900e-01,4.00e-10,0.000%,ok
tessa.csv,storm.add.csv,n13-h100,9.97700490e-01,9.97700490e-01,4.00e-10,0.000%,ok
tessa.csv,storm.add.csv,n15-h100,9.89611650e-01,9.89611651e-01,9.00e-10,0.000%,ok
tessa.csv,storm.add.csv,n3-h100,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
tessa.csv,storm.add.csv,n5-h100,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
tessa.csv,storm.add.csv,n7-h100,1.00000000e+00,9.99999999e-01,8.00e-10,0.000%,ok
tessa.csv,storm.add.csv,n9-h100,9.99996830e-01,9.99996829e-01,7.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n11-h100,9.99791900e-01,9.99791900e-01,4.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n13-h100,9.97700490e-01,9.97700490e-01,4.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n15-h100,9.89611650e-01,9.89611651e-01,9.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n17-h100,9.71506820e-01,9.71506823e-01,3.50e-09,0.000%,ok
tessa.csv,storm.spm.csv,n3-h100,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
tessa.csv,storm.spm.csv,n5-h100,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
tessa.csv,storm.spm.csv,n7-h100,1.00000000e+00,9.99999999e-01,8.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n9-h100,9.99996830e-01,9.99996829e-01,7.00e-10,0.000%,ok
