suite,case_id,tool,storm_extra_args,num_trials,property,horizon,constants,N,H,status,probability,elapsed_seconds,error_message
meeting,n12-h1,storm.spm,-tm --sylvan:threads 1,1,goal,1,,12,1,ok,0.0,167.76290509698447,
meeting,n12-h2,storm.spm,-tm --sylvan:threads 1,1,goal,2,,12,2,ok,3.779659414e-13,182.35899025399704,
meeting,n12-h3,storm.spm,-tm --sylvan:threads 1,1,goal,3,,12,3,ok,5.644080608e-10,183.09856642899103,
meeting,n12-h4,storm.spm,-tm --sylvan:threads 1,1,goal,4,,12,4,failed,,186.0503918370232,Exit code 11
meeting,n12-h5,storm.spm,-tm --sylvan:threads 1,1,goal,5,,12,5,failed,,187.39213631604798,Exit code 11
meeting,n12-h6,storm.spm,-tm --sylvan:threads 1,1,goal,6,,12,6,failed,,194.01381305395626,Exit code 11
meeting,n12-h7,storm.spm,-tm --sylvan:threads 1,1,goal,7,,12,7,failed,,192.95810541301034,Exit code 11
meeting,n12-h8,storm.spm,-tm --sylvan:threads 1,1,goal,8,,12,8,failed,,197.3424726210069,Exit code 11
meeting,n12-h9,storm.spm,-tm --sylvan:threads 1,1,goal,9,,12,9,ok,0.0002277159078,201.0813742299797,
meeting,n12-h10,storm.spm,-tm --sylvan:threads 1,1,goal,10,,12,10,failed,,199.55673404491972,Exit code 11
meeting,n12-h20,storm.spm,-tm --sylvan:threads 1,1,goal,20,,12,20,ok,0.04173319243,196.16842672496568,
meeting,n12-h30,storm.spm,-tm --sylvan:threads 1,1,goal,30,,12,30,ok,0.1847598728,193.630862778984,
meeting,n12-h40,storm.spm,-tm --sylvan:threads 1,1,goal,40,,12,40,failed,,190.8218938789796,Exit code 11
meeting,n12-h50,storm.spm,-tm --sylvan:threads 1,1,goal,50,,12,50,ok,0.5278988381,205.05251041706651,
meeting,n12-h60,storm.spm,-tm --sylvan:threads 1,1,goal,60,,12,60,ok,0.6544402901,207.65895322500728,
meeting,n12-h70,storm.spm,-tm --sylvan:threads 1,1,goal,70,,12,70,failed,,177.09838994208258,Exit code 11
meeting,n12-h80,storm.spm,-tm --sylvan:threads 1,1,goal,80,,12,80,failed,,186.63422118499875,Exit code 11
meeting,n12-h90,storm.spm,-tm --sylvan:threads 1,1,goal,90,,12,90,ok,0.8659925998,210.98835212097038,
meeting,n12-h100,storm.spm,-tm --sylvan:threads 1,1,goal,100,,12,100,failed,,179.9393194640288,Exit code 11
meeting,n12-h200,storm.spm,-tm --sylvan:threads 1,1,goal,200,,12,200,failed,,181.1280740289949,Exit code 11
meeting,n12-h300,storm.spm,-tm --sylvan:threads 1,1,goal,300,,12,300,ok,0.9996526885,280.7853206099244,
meeting,n12-h400,storm.spm,-tm --sylvan:threads 1,1,goal,400,,12,400,failed,,183.95694114093203,Exit code 11
meeting,n12-h500,storm.spm,-tm --sylvan:threads 1,1,goal,500,,12,500,failed,,192.28012979601044,Exit code 11
meeting,n12-h600,storm.spm,-tm --sylvan:threads 1,1,goal,600,,12,600,failed,,229.99452364910394,Exit code 11
meeting,n12-h700,storm.spm,-tm --sylvan:threads 1,1,goal,700,,12,700,failed,,180.64062802295666,Exit code 11
meeting,n12-h800,storm.spm,-tm --sylvan:threads 1,1,goal,800,,12,800,failed,,190.28496569010895,Exit code 11
meeting,n12-h900,storm.spm,-tm --sylvan:threads 1,1,goal,900,,12,900,failed,,179.38778531900607,Exit code 11
meeting,n12-h1000,storm.spm,-tm --sylvan:threads 1,1,goal,1000,,12,1000,failed,,180.47771053900942,Exit code 11
