tessa_file,storm_file,case_id,tessa_probability,storm_probability,abs_diff,rel_diff,status
tessa.csv,storm.spm.csv,n12-h1,0.00000000e+00,0.00000000e+00,0.00e+00,inf%,ok
tessa.csv,storm.spm.csv,n12-h10,5.46370000e-04,5.46371494e-04,1.49e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h100,9.01667170e-01,9.01667174e-01,4.30e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h1000,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
tessa.csv,storm.spm.csv,n12-h2,3.77965941e-13,3.77965941e-13,4.00e-22,0.000%,ok
tessa.csv,storm.spm.csv,n12-h20,4.17331900e-02,4.17331924e-02,2.40e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h200,9.94622800e-01,9.94622803e-01,3.50e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h3,5.64408061e-10,5.64408061e-10,2.00e-19,0.000%,ok
tessa.csv,storm.spm.csv,n12-h30,1.84759870e-01,1.84759873e-01,2.80e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h300,9.99652690e-01,9.99652688e-01,1.50e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h4,3.53929147e-08,3.53929147e-08,4.00e-17,0.000%,ok
tessa.csv,storm.spm.csv,n12-h40,3.66102290e-01,3.66102288e-01,2.30e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h400,9.99976490e-01,9.99976487e-01,3.50e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h5,5.78697873e-07,5.78697873e-07,3.00e-16,0.000%,ok
tessa.csv,storm.spm.csv,n12-h50,5.27898840e-01,5.27898838e-01,1.90e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h500,9.99998390e-01,9.99998386e-01,3.90e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h6,4.52868414e-06,4.52868414e-06,3.00e-15,0.000%,ok
tessa.csv,storm.spm.csv,n12-h60,6.54440290e-01,6.54440290e-01,1.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n12-h600,9.99999890e-01,9.99999889e-01,1.20e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h7,2.22879181e-05,2.22879180e-05,5.00e-14,0.000%,ok
tessa.csv,storm.spm.csv,n12-h70,7.48350720e-01,7.48350720e-01,5.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n12-h700,9.99999990e-01,9.99999992e-01,2.30e-09,0.000%,ok
tessa.csv,storm.spm.csv,n12-h8,7.98876338e-05,7.98876338e-05,3.00e-14,0.000%,ok
tessa.csv,storm.spm.csv,n12-h80,8.16640840e-01,8.16640839e-01,9.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n12-h800,1.00000000e+00,9.99999999e-01,5.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n12-h9,2.27720000e-04,2.27715908e-04,4.09e-09,0.002%,ok
tessa.csv,storm.spm.csv,n12-h90,8.65992600e-01,8.65992600e-01,2.00e-10,0.000%,ok
tessa.csv,storm.spm.csv,n12-h900,1.00000000e+00,1.00000000e+00,0.00e+00,0.000%,ok
