suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
meeting,n2-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,2,10,ok,0.06325176,4.271192518994212,0.3093048356822692,0.020019867206023317,0.00035231997026130557,0.012952584346445898,0.29635225133582327,0.0004433559952303767,0.0019530013845589838,0.019398807070475442,0.0,
meeting,n3-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,3,10,ok,0.02354395,4.668276655022055,0.4020435016524668,0.01556811559068764,0.0005034139612689614,0.013134812315305075,0.38890868933716166,0.00039013795321807265,0.0009615528239738134,0.0158594212913604,0.0,
meeting,n4-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,4,10,ok,0.01048039,5.230916080996394,0.4487767086635965,0.041793632739414076,0.0005212010000832379,0.019203975001194824,0.4295727336624016,0.0004368940135464072,0.00452380742567855,0.039561653194777585,0.0,
meeting,n5-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,5,10,ok,0.00538174,5.680782379989978,0.5097287976726269,0.05973300257044594,0.0005759579944424331,0.0187614006572403,0.49096739701538655,0.0004679110134020448,0.0028314224878561293,0.057285717272190055,0.0,
meeting,n6-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,6,10,ok,0.00310551,6.423470709996764,0.6477775283274241,0.025316806162706824,0.000578642007894814,0.02336566598387435,0.6244118623435497,0.0005402580136433244,0.004571290736488316,0.029768345763944593,0.0,
meeting,n7-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,7,10,ok,0.00197379,6.617712348001078,0.6804896709897245,0.02480287554021679,0.000669286004267633,0.025642024003900588,0.6548476469858239,0.0004920730134472251,0.0007817120960806322,0.02402885836122402,0.0,
meeting,n8-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,8,10,ok,0.00135995,7.026903013000265,0.7426521700108424,0.048612186050957185,0.0009025810286402702,0.03816479533755531,0.704487374673287,0.0005596519913524389,0.012363995212029114,0.0495074786878905,0.0,
meeting,n9-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,9,10,ok,0.00100271,7.385117551020812,0.7596334770205431,0.09746575081340943,0.0008632350363768637,0.030595819019557286,0.7290376580009857,0.0007908520055934787,0.004311179788736935,0.10162865108185759,0.0,
meeting,n10-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,10,10,ok,0.00078268,8.166642338968813,0.9300980156597992,0.04975340618603322,0.0009929210064001381,0.04185238065353284,0.8882456350062663,0.00095935701392591,0.01201293054470643,0.03797841272317154,0.0,
meeting,n11-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,11,10,ok,0.00064093,9.108601499989163,1.101083166024182,0.0762560265983437,0.0010033930302597582,0.04642640834208578,1.0546567576820962,0.0017731210100464523,0.012010451318827208,0.0651146401005786,0.0,
meeting,n12-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,12,10,ok,0.00054637,11.236186791968066,1.3836346353249003,0.04708839024363128,0.0011112000211142004,0.044675426674075425,1.3389592086508249,0.004056972975376993,0.004385480037634239,0.04798811451383694,0.0,
