suite,case_id,tool,storm_extra_args,num_trials,property,horizon,constants,Q,N,H,status,probability,elapsed_seconds,error_message
parqueues,q9-n3-h1,storm.spm,-tm --sylvan:threads 1,1,target,1,"{""N"": 3}",9,3,1,ok,0.0,21.269132722984068,
parqueues,q9-n3-h2,storm.spm,-tm --sylvan:threads 1,1,target,2,"{""N"": 3}",9,3,2,ok,0.0,19.849532891996205,
parqueues,q9-n3-h3,storm.spm,-tm --sylvan:threads 1,1,target,3,"{""N"": 3}",9,3,3,ok,0.001981573309,21.344957526074722,
parqueues,q9-n3-h4,storm.spm,-tm --sylvan:threads 1,1,target,4,"{""N"": 3}",9,3,4,ok,0.01457853112,20.64835628506262,
parqueues,q9-n3-h5,storm.spm,-tm --sylvan:threads 1,1,target,5,"{""N"": 3}",9,3,5,ok,0.02758535924,20.699060473009013,
parqueues,q9-n3-h6,storm.spm,-tm --sylvan:threads 1,1,target,6,"{""N"": 3}",9,3,6,ok,0.03411829351,20.79553596302867,
parqueues,q9-n3-h7,storm.spm,-tm --sylvan:threads 1,1,target,7,"{""N"": 3}",9,3,7,ok,0.03642315309,20.431074744905345,
parqueues,q9-n3-h8,storm.spm,-tm --sylvan:threads 1,1,target,8,"{""N"": 3}",9,3,8,ok,0.03708667992,20.500899605918676,
parqueues,q9-n3-h9,storm.spm,-tm --sylvan:threads 1,1,target,9,"{""N"": 3}",9,3,9,ok,0.03725475008,20.842790557071567,
parqueues,q9-n3-h10,storm.spm,-tm --sylvan:threads 1,1,target,10,"{""N"": 3}",9,3,10,ok,0.03729385656,21.163634260068648,
parqueues,q9-n3-h20,storm.spm,-tm --sylvan:threads 1,1,target,20,"{""N"": 3}",9,3,20,ok,0.03730469803,20.784359312034212,
parqueues,q9-n3-h30,storm.spm,-tm --sylvan:threads 1,1,target,30,"{""N"": 3}",9,3,30,ok,0.03730469803,21.09443735308014,
parqueues,q9-n3-h40,storm.spm,-tm --sylvan:threads 1,1,target,40,"{""N"": 3}",9,3,40,ok,0.03730469803,21.61199441703502,
parqueues,q9-n3-h50,storm.spm,-tm --sylvan:threads 1,1,target,50,"{""N"": 3}",9,3,50,ok,0.03730469803,22.071251540910453,
parqueues,q9-n3-h60,storm.spm,-tm --sylvan:threads 1,1,target,60,"{""N"": 3}",9,3,60,ok,0.03730469803,22.982104983064346,
parqueues,q9-n3-h70,storm.spm,-tm --sylvan:threads 1,1,target,70,"{""N"": 3}",9,3,70,ok,0.03730469803,22.94741386792157,
parqueues,q9-n3-h80,storm.spm,-tm --sylvan:threads 1,1,target,80,"{""N"": 3}",9,3,80,ok,0.03730469803,24.41756900108885,
parqueues,q9-n3-h90,storm.spm,-tm --sylvan:threads 1,1,target,90,"{""N"": 3}",9,3,90,ok,0.03730469803,24.522754578036256,
parqueues,q9-n3-h100,storm.spm,-tm --sylvan:threads 1,1,target,100,"{""N"": 3}",9,3,100,ok,0.03730469803,25.15447122894693,
parqueues,q9-n3-h200,storm.spm,-tm --sylvan:threads 1,1,target,200,"{""N"": 3}",9,3,200,ok,0.03730469803,31.059289927012287,
parqueues,q9-n3-h300,storm.spm,-tm --sylvan:threads 1,1,target,300,"{""N"": 3}",9,3,300,ok,0.03730469803,34.94256027799565,
parqueues,q9-n3-h400,storm.spm,-tm --sylvan:threads 1,1,target,400,"{""N"": 3}",9,3,400,ok,0.03730469803,40.48919932299759,
parqueues,q9-n3-h500,storm.spm,-tm --sylvan:threads 1,1,target,500,"{""N"": 3}",9,3,500,ok,0.03730469803,45.00709942600224,
parqueues,q9-n3-h600,storm.spm,-tm --sylvan:threads 1,1,target,600,"{""N"": 3}",9,3,600,ok,0.03730469803,50.30391854699701,
parqueues,q9-n3-h700,storm.spm,-tm --sylvan:threads 1,1,target,700,"{""N"": 3}",9,3,700,ok,0.03730469803,55.05417687899899,
parqueues,q9-n3-h800,storm.spm,-tm --sylvan:threads 1,1,target,800,"{""N"": 3}",9,3,800,ok,0.03730469803,59.51936364499852,
parqueues,q9-n3-h900,storm.spm,-tm --sylvan:threads 1,1,target,900,"{""N"": 3}",9,3,900,ok,0.03730469803,64.56166119594127,
parqueues,q9-n3-h1000,storm.spm,-tm --sylvan:threads 1,1,target,1000,"{""N"": 3}",9,3,1000,ok,0.03730469803,70.63276369997766,
