suite,case_id,tool,storm_extra_args,num_trials,property,horizon,constants,N,H,status,probability,elapsed_seconds,error_message
weather-factory,n13-h1,storm.spm,-tm --sylvan:threads 1,1,allStrike,1,,13,1,ok,4.085269645e-10,142.4409727739403,
weather-factory,n13-h2,storm.spm,-tm --sylvan:threads 1,1,allStrike,2,,13,2,ok,5.2620061e-10,143.5327636069851,
weather-factory,n13-h3,storm.spm,-tm --sylvan:threads 1,1,allStrike,3,,13,3,ok,6.628657262e-10,143.9752723959973,
weather-factory,n13-h4,storm.spm,-tm --sylvan:threads 1,1,allStrike,4,,13,4,ok,7.987741485e-10,144.4485891329823,
weather-factory,n13-h5,storm.spm,-tm --sylvan:threads 1,1,allStrike,5,,13,5,ok,9.349360941e-10,144.45500270300545,
weather-factory,n13-h6,storm.spm,-tm --sylvan:threads 1,1,allStrike,6,,13,6,ok,1.071101237e-09,152.17789983702824,
weather-factory,n13-h7,storm.spm,-tm --sylvan:threads 1,1,allStrike,7,,13,7,ok,1.207272211e-09,147.97371431603096,
weather-factory,n13-h8,storm.spm,-tm --sylvan:threads 1,1,allStrike,8,,13,8,ok,1.343443897e-09,150.54293657001108,
weather-factory,n13-h9,storm.spm,-tm --sylvan:threads 1,1,allStrike,9,,13,9,ok,1.479615822e-09,147.5157712129876,
weather-factory,n13-h10,storm.spm,-tm --sylvan:threads 1,1,allStrike,10,,13,10,ok,1.615787795e-09,148.23375892895274,
weather-factory,n13-h20,storm.spm,-tm --sylvan:threads 1,1,allStrike,20,,13,20,ok,2.977507694e-09,151.25900066201575,
weather-factory,n13-h30,storm.spm,-tm --sylvan:threads 1,1,allStrike,30,,13,30,ok,4.339227596e-09,154.42877856292762,
weather-factory,n13-h40,storm.spm,-tm --sylvan:threads 1,1,allStrike,40,,13,40,ok,5.700947496e-09,158.27702313498594,
weather-factory,n13-h50,storm.spm,-tm --sylvan:threads 1,1,allStrike,50,,13,50,ok,7.062667394e-09,160.81825655302964,
weather-factory,n13-h60,storm.spm,-tm --sylvan:threads 1,1,allStrike,60,,13,60,ok,8.42438729e-09,164.71008256205823,
weather-factory,n13-h70,storm.spm,-tm --sylvan:threads 1,1,allStrike,70,,13,70,ok,9.786107185e-09,167.52480887703132,
weather-factory,n13-h80,storm.spm,-tm --sylvan:threads 1,1,allStrike,80,,13,80,ok,1.114782708e-08,172.01721184398048,
weather-factory,n13-h90,storm.spm,-tm --sylvan:threads 1,1,allStrike,90,,13,90,ok,1.250954697e-08,177.64721451199148,
weather-factory,n13-h100,storm.spm,-tm --sylvan:threads 1,1,allStrike,100,,13,100,ok,1.387126686e-08,177.73615641600918,
weather-factory,n13-h200,storm.spm,-tm --sylvan:threads 1,1,allStrike,200,,13,200,ok,2.748846564e-08,211.42409615404904,
weather-factory,n13-h300,storm.spm,-tm --sylvan:threads 1,1,allStrike,300,,13,300,ok,4.110566425e-08,242.89136950694956,
weather-factory,n13-h400,storm.spm,-tm --sylvan:threads 1,1,allStrike,400,,13,400,ok,5.472286266e-08,285.58973246300593,
weather-factory,n13-h500,storm.spm,-tm --sylvan:threads 1,1,allStrike,500,,13,500,ok,6.834006089e-08,314.0712130549364,
weather-factory,n13-h600,storm.spm,-tm --sylvan:threads 1,1,allStrike,600,,13,600,ok,8.195725894e-08,348.74172199494205,
weather-factory,n13-h700,storm.spm,-tm --sylvan:threads 1,1,allStrike,700,,13,700,ok,9.55744568e-08,375.80644201801624,
weather-factory,n13-h800,storm.spm,-tm --sylvan:threads 1,1,allStrike,800,,13,800,ok,1.091916545e-07,408.47511766594835,
weather-factory,n13-h900,storm.spm,-tm --sylvan:threads 1,1,allStrike,900,,13,900,ok,1.22808852e-07,443.6983215539949,
weather-factory,n13-h1000,storm.spm,-tm --sylvan:threads 1,1,allStrike,1000,,13,1000,ok,1.36426047e-07,481.15921944298316,
