suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
weather-factory,n13-h1,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,1,,13,1,ok,4.08526965e-10,14.1036715109949,1.8102716919966042,0.059003564061560584,0.0016489989939145744,0.06323438333735491,1.7470373086592492,0.0003247099812142551,0.015679009751063795,0.04814159565127802,0.0,
weather-factory,n13-h2,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,2,,13,2,ok,5.2620061e-10,13.691899491997901,1.794230533996597,0.10830192418226521,0.0014998139813542366,0.05250221164897084,1.741728322347626,0.00037859700387343764,0.016207201622897214,0.10361672277345069,0.0,
weather-factory,n13-h3,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,3,,13,3,ok,6.62865726e-10,13.326328151975758,1.6234826613411617,0.04860884945291994,0.0017606749897822738,0.04331456332389886,1.580168098017263,0.00048513099318370223,0.005506943043959948,0.054106767219254163,0.0,
weather-factory,n13-h4,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,4,,13,4,ok,7.98774149e-10,13.628823960956652,1.8400746246722217,0.12432690358358238,0.001483662985265255,0.054689849338804684,1.7853847753334169,0.0005314440350048244,0.02257223596103973,0.12621942079632087,0.0,
weather-factory,n13-h5,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,5,,13,5,ok,9.34936094e-10,14.311843101982959,1.8245646063005552,0.07177741031208636,0.001751498959492892,0.052636615660352014,1.7719279906402032,0.000581443018745631,0.010586077034882728,0.06529119952268232,0.0,
weather-factory,n13-h6,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,6,,13,6,ok,1.07110124e-09,13.916227607987821,1.8818604663247243,0.07905346272581068,0.001604699995368719,0.0593929979756164,1.8224674683491078,0.0006396690150722861,0.0030728110754223966,0.07840192520762213,0.0,
weather-factory,n13-h7,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,7,,13,7,ok,1.20727221e-09,13.936215422989335,1.9019906656855408,0.04475647392364129,0.0017368149710819125,0.07032858599753429,1.8316620796880063,0.0009580140467733145,0.007185583269412463,0.038059704183300264,0.0,
weather-factory,n13-h8,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,8,,13,8,ok,1.3434439e-09,13.713783557992429,1.8533756070343468,0.049838992889745304,0.0017434880137443542,0.051021796360146254,1.8023538106742005,0.0007768700015731156,0.014681030271605961,0.03634429651050874,0.0,
weather-factory,n13-h9,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,9,,13,9,ok,1.47961582e-09,13.326938603946473,1.7597802133338216,0.20186505608532299,0.0016238560201600194,0.04574720732246836,1.714033006011353,0.0008189129875972867,0.006998264464024187,0.20819825969156142,0.0,
weather-factory,n13-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,10,,13,10,ok,1.6157878e-09,13.802557770977728,1.8327536626796548,0.21684651829312623,0.0015523310285061598,0.045721708001413695,1.7870319546782412,0.0011772200232371688,0.0056492941245167684,0.2201196760932435,0.0,
